-- Subscribed to OrderBook! --

-- Subscribed to OrderBook! --

2017-12-13 01:22:44.291506 ETH-USD bid: 3.000 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.294751 ETH-USD bid: 2.000 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.308465 ETH-USD bid: 0.000 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.310161 ETH-USD bid: 0.150 @ 666.89	ask: 82.442 @ 666.91
2017-12-13 01:22:44.311903 ETH-USD bid: 0.000 @ 666.89	ask: 82.442 @ 666.91
2017-12-13 01:22:44.313606 ETH-USD bid: 0.424 @ 666.37	ask: 82.442 @ 666.91
2017-12-13 01:22:44.323385 ETH-USD bid: 0.212 @ 666.37	ask: 82.442 @ 666.91
2017-12-13 01:22:44.327720 ETH-USD bid: 0.000 @ 666.37	ask: 82.442 @ 666.91
2017-12-13 01:22:44.329406 ETH-USD bid: 2.967 @ 666.12	ask: 82.442 @ 666.91
2017-12-13 01:22:44.339136 ETH-USD bid: 0.000 @ 666.12	ask: 82.442 @ 666.91
2017-12-13 01:22:44.340788 ETH-USD bid: 14.088 @ 666.11	ask: 82.442 @ 666.91
2017-12-13 01:22:44.342530 ETH-USD bid: 3.000 @ 666.11	ask: 82.442 @ 666.91
2017-12-13 01:22:44.356234 ETH-USD bid: 0.000 @ 666.11	ask: 82.442 @ 666.91
2017-12-13 01:22:44.357927 ETH-USD bid: 0.140 @ 666.10	ask: 82.442 @ 666.91
2017-12-13 01:22:44.363693 ETH-USD bid: 0.000 @ 666.10	ask: 82.442 @ 666.91
2017-12-13 01:22:44.365544 ETH-USD bid: 62.903 @ 666.00	ask: 82.442 @ 666.91
2017-12-13 01:22:44.371720 ETH-USD bid: 9.364 @ 666.00	ask: 82.442 @ 666.91
2017-12-13 01:22:44.379698 ETH-USD bid: 9.014 @ 666.00	ask: 82.442 @ 666.91
2017-12-13 01:22:44.387133 ETH-USD bid: 8.014 @ 666.00	ask: 82.442 @ 666.91
2017-12-13 01:22:44.390522 ETH-USD bid: 8.010 @ 666.00	ask: 82.442 @ 666.91
2017-12-13 01:22:44.401905 ETH-USD bid: 8.000 @ 666.00	ask: 82.442 @ 666.91
2017-12-13 01:22:44.415757 ETH-USD bid: 7.000 @ 666.00	ask: 82.442 @ 666.91
2017-12-13 01:22:44.423125 ETH-USD bid: 3.000 @ 666.00	ask: 82.442 @ 666.91
2017-12-13 01:22:44.426564 ETH-USD bid: 2.000 @ 666.00	ask: 82.442 @ 666.91
2017-12-13 01:22:44.433767 ETH-USD bid: 1.000 @ 666.00	ask: 82.442 @ 666.91
2017-12-13 01:22:44.441008 ETH-USD bid: 0.000 @ 666.00	ask: 82.442 @ 666.91
2017-12-13 01:22:44.442656 ETH-USD bid: 5.105 @ 665.98	ask: 82.442 @ 666.91
2017-12-13 01:22:44.448383 ETH-USD bid: 0.105 @ 665.98	ask: 82.442 @ 666.91
2017-12-13 01:22:44.455634 ETH-USD bid: 0.000 @ 665.98	ask: 82.442 @ 666.91
2017-12-13 01:22:44.457265 ETH-USD bid: 81.702 @ 665.89	ask: 82.442 @ 666.91
2017-12-13 01:22:44.462953 ETH-USD bid: 31.702 @ 665.89	ask: 82.442 @ 666.91
2017-12-13 01:22:44.466075 ETH-USD bid: 0.000 @ 665.89	ask: 82.442 @ 666.91
2017-12-13 01:22:44.471770 ETH-USD bid: 0.250 @ 665.80	ask: 82.442 @ 666.91
2017-12-13 01:22:44.473463 ETH-USD bid: 0.000 @ 665.80	ask: 82.442 @ 666.91
2017-12-13 01:22:44.479177 ETH-USD bid: 0.250 @ 665.77	ask: 82.442 @ 666.91
2017-12-13 01:22:44.480999 ETH-USD bid: 0.000 @ 665.77	ask: 82.442 @ 666.91
2017-12-13 01:22:44.482779 ETH-USD bid: 10.100 @ 665.69	ask: 82.442 @ 666.91
2017-12-13 01:22:44.488662 ETH-USD bid: 10.000 @ 665.69	ask: 82.442 @ 666.91
2017-12-13 01:22:44.496074 ETH-USD bid: 0.000 @ 665.69	ask: 82.442 @ 666.91
2017-12-13 01:22:44.497745 ETH-USD bid: 0.200 @ 665.67	ask: 82.442 @ 666.91
2017-12-13 01:22:44.503497 ETH-USD bid: 0.000 @ 665.67	ask: 82.442 @ 666.91
2017-12-13 01:22:44.505239 ETH-USD bid: 8.176 @ 665.65	ask: 82.442 @ 666.91
2017-12-13 01:22:44.511093 ETH-USD bid: 3.000 @ 665.65	ask: 82.442 @ 666.91
2017-12-13 01:22:44.514550 ETH-USD bid: 0.000 @ 665.65	ask: 82.442 @ 666.91
2017-12-13 01:22:44.516439 ETH-USD bid: 0.038 @ 665.64	ask: 82.442 @ 666.91
2017-12-13 01:22:44.518393 ETH-USD bid: 0.000 @ 665.64	ask: 82.442 @ 666.91
2017-12-13 01:22:44.528188 ETH-USD bid: 0.033 @ 665.60	ask: 82.442 @ 666.91
2017-12-13 01:22:44.530117 ETH-USD bid: 0.000 @ 665.60	ask: 82.442 @ 666.91
2017-12-13 01:22:44.535949 ETH-USD bid: 1.500 @ 665.52	ask: 82.442 @ 666.91
2017-12-13 01:22:44.537914 ETH-USD bid: 0.500 @ 665.52	ask: 82.442 @ 666.91
2017-12-13 01:22:44.552012 ETH-USD bid: 0.000 @ 665.52	ask: 82.442 @ 666.91
2017-12-13 01:22:44.553976 ETH-USD bid: 74.720 @ 665.50	ask: 82.442 @ 666.91
2017-12-13 01:22:44.559988 ETH-USD bid: 74.700 @ 665.50	ask: 82.442 @ 666.91
2017-12-13 01:22:44.567711 ETH-USD bid: 59.700 @ 665.50	ask: 82.442 @ 666.91
2017-12-13 01:22:44.575341 ETH-USD bid: 59.200 @ 665.50	ask: 82.442 @ 666.91
2017-12-13 01:22:44.582977 ETH-USD bid: 49.200 @ 665.50	ask: 82.442 @ 666.91
2017-12-13 01:22:44.586545 ETH-USD bid: 49.000 @ 665.50	ask: 82.442 @ 666.91
2017-12-13 01:22:44.594017 ETH-USD bid: 0.000 @ 665.50	ask: 82.442 @ 666.91
2017-12-13 01:22:44.599819 ETH-USD bid: 1.227 @ 665.45	ask: 82.442 @ 666.91
2017-12-13 01:22:44.601637 ETH-USD bid: 0.977 @ 665.45	ask: 82.442 @ 666.91
2017-12-13 01:22:44.609154 ETH-USD bid: 0.000 @ 665.45	ask: 82.442 @ 666.91
2017-12-13 01:22:44.614969 ETH-USD bid: 0.033 @ 665.43	ask: 82.442 @ 666.91
2017-12-13 01:22:44.618373 ETH-USD bid: 0.000 @ 665.43	ask: 82.442 @ 666.91
2017-12-13 01:22:44.620137 ETH-USD bid: 4.000 @ 665.40	ask: 82.442 @ 666.91
2017-12-13 01:22:44.621966 ETH-USD bid: 3.000 @ 665.40	ask: 82.442 @ 666.91
2017-12-13 01:22:44.629425 ETH-USD bid: 0.000 @ 665.40	ask: 82.442 @ 666.91
2017-12-13 01:22:44.635123 ETH-USD bid: 0.100 @ 665.34	ask: 82.442 @ 666.91
2017-12-13 01:22:44.636939 ETH-USD bid: 0.000 @ 665.34	ask: 82.442 @ 666.91
2017-12-13 01:22:44.638747 ETH-USD bid: 9.007 @ 665.33	ask: 82.442 @ 666.91
2017-12-13 01:22:44.644589 ETH-USD bid: 8.997 @ 665.33	ask: 82.442 @ 666.91
2017-12-13 01:22:44.656095 ETH-USD bid: 0.997 @ 665.33	ask: 82.442 @ 666.91
2017-12-13 01:22:44.660420 ETH-USD bid: 0.000 @ 665.33	ask: 82.442 @ 666.91
2017-12-13 01:22:44.671562 ETH-USD bid: 50.000 @ 665.20	ask: 82.442 @ 666.91
